S1	S2	Spkr1	Spkr2	DdB1	DdB2
25	52	8	8	0	0
25	52	8	8	0	0
25	52	8	8	0	0
25	52	8	8	0	0
25	52	8	8	0	0
25	46	8	8	0	0
25	46	8	8	0	0
25	46	8	8	0	0
25	46	8	8	0	0
25	46	8	8	0	0
25	40	8	8	0	0
25	40	8	8	0	0
25	40	8	8	0	0
25	40	8	8	0	0
25	40	8	8	0	0
25	36	8	8	0	0
25	36	8	8	0	0
25	36	8	8	0	0
25	36	8	8	0	0
25	36	8	8	0	0
25	33	8	8	0	0
25	33	8	8	0	0
25	33	8	8	0	0
25	33	8	8	0	0
25	33	8	8	0	0
25	30	8	8	0	0
25	30	8	8	0	0
25	30	8	8	0	0
25	30	8	8	0	0
25	30	8	8	0	0
25	29	8	8	0	0
25	29	8	8	0	0
25	29	8	8	0	0
25	29	8	8	0	0
25	29	8	8	0	0
25	25	8	8	0	0
25	25	8	8	0	0
25	25	8	8	0	0
25	25	8	8	0	0
25	25	8	8	0	0
25	23	8	8	0	0
25	23	8	8	0	0
25	23	8	8	0	0
25	23	8	8	0	0
25	23	8	8	0	0
25	22	8	8	0	0
25	22	8	8	0	0
25	22	8	8	0	0
25	22	8	8	0	0
25	22	8	8	0	0
25	20	8	8	0	0
25	20	8	8	0	0
25	20	8	8	0	0
25	20	8	8	0	0
25	20	8	8	0	0
25	13	8	8	0	0
25	13	8	8	0	0
25	13	8	8	0	0
25	13	8	8	0	0
25	13	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	14	8	8	0	0
25	14	8	8	0	0
25	14	8	8	0	0
25	14	8	8	0	0
25	14	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	52	8	8	0	0
25	52	8	8	0	0
25	52	8	8	0	0
25	52	8	8	0	0
25	52	8	8	0	0
25	46	8	8	0	0
25	46	8	8	0	0
25	46	8	8	0	0
25	46	8	8	0	0
25	46	8	8	0	0
25	40	8	8	0	0
25	40	8	8	0	0
25	40	8	8	0	0
25	40	8	8	0	0
25	40	8	8	0	0
25	36	8	8	0	0
25	36	8	8	0	0
25	36	8	8	0	0
25	36	8	8	0	0
25	36	8	8	0	0
25	33	8	8	0	0
25	33	8	8	0	0
25	33	8	8	0	0
25	33	8	8	0	0
25	33	8	8	0	0
25	30	8	8	0	0
25	30	8	8	0	0
25	30	8	8	0	0
25	30	8	8	0	0
25	30	8	8	0	0
25	29	8	8	0	0
25	29	8	8	0	0
25	29	8	8	0	0
25	29	8	8	0	0
25	29	8	8	0	0
25	25	8	8	0	0
25	25	8	8	0	0
25	25	8	8	0	0
25	25	8	8	0	0
25	25	8	8	0	0
25	23	8	8	0	0
25	23	8	8	0	0
25	23	8	8	0	0
25	23	8	8	0	0
25	23	8	8	0	0
25	22	8	8	0	0
25	22	8	8	0	0
25	22	8	8	0	0
25	22	8	8	0	0
25	22	8	8	0	0
25	20	8	8	0	0
25	20	8	8	0	0
25	20	8	8	0	0
25	20	8	8	0	0
25	20	8	8	0	0
25	13	8	8	0	0
25	13	8	8	0	0
25	13	8	8	0	0
25	13	8	8	0	0
25	13	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	14	8	8	0	0
25	14	8	8	0	0
25	14	8	8	0	0
25	14	8	8	0	0
25	14	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	52	8	8	0	0
25	52	8	8	0	0
25	52	8	8	0	0
25	52	8	8	0	0
25	52	8	8	0	0
25	46	8	8	0	0
25	46	8	8	0	0
25	46	8	8	0	0
25	46	8	8	0	0
25	46	8	8	0	0
25	40	8	8	0	0
25	40	8	8	0	0
25	40	8	8	0	0
25	40	8	8	0	0
25	40	8	8	0	0
25	36	8	8	0	0
25	36	8	8	0	0
25	36	8	8	0	0
25	36	8	8	0	0
25	36	8	8	0	0
25	33	8	8	0	0
25	33	8	8	0	0
25	33	8	8	0	0
25	33	8	8	0	0
25	33	8	8	0	0
25	30	8	8	0	0
25	30	8	8	0	0
25	30	8	8	0	0
25	30	8	8	0	0
25	30	8	8	0	0
25	29	8	8	0	0
25	29	8	8	0	0
25	29	8	8	0	0
25	29	8	8	0	0
25	29	8	8	0	0
25	25	8	8	0	0
25	25	8	8	0	0
25	25	8	8	0	0
25	25	8	8	0	0
25	25	8	8	0	0
25	23	8	8	0	0
25	23	8	8	0	0
25	23	8	8	0	0
25	23	8	8	0	0
25	23	8	8	0	0
25	22	8	8	0	0
25	22	8	8	0	0
25	22	8	8	0	0
25	22	8	8	0	0
25	22	8	8	0	0
25	20	8	8	0	0
25	20	8	8	0	0
25	20	8	8	0	0
25	20	8	8	0	0
25	20	8	8	0	0
25	13	8	8	0	0
25	13	8	8	0	0
25	13	8	8	0	0
25	13	8	8	0	0
25	13	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	14	8	8	0	0
25	14	8	8	0	0
25	14	8	8	0	0
25	14	8	8	0	0
25	14	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
25	17	8	8	0	0
