S1	S2	Spkr1	Spkr2	DdB1	DdB2
25	52	7	7	0	0
25	52	7	7	0	0
25	52	7	7	0	0
25	52	7	7	0	0
25	52	7	7	0	0
25	46	7	7	0	0
25	46	7	7	0	0
25	46	7	7	0	0
25	46	7	7	0	0
25	46	7	7	0	0
25	40	7	7	0	0
25	40	7	7	0	0
25	40	7	7	0	0
25	40	7	7	0	0
25	40	7	7	0	0
25	36	7	7	0	0
25	36	7	7	0	0
25	36	7	7	0	0
25	36	7	7	0	0
25	36	7	7	0	0
25	33	7	7	0	0
25	33	7	7	0	0
25	33	7	7	0	0
25	33	7	7	0	0
25	33	7	7	0	0
25	30	7	7	0	0
25	30	7	7	0	0
25	30	7	7	0	0
25	30	7	7	0	0
25	30	7	7	0	0
25	29	7	7	0	0
25	29	7	7	0	0
25	29	7	7	0	0
25	29	7	7	0	0
25	29	7	7	0	0
25	25	7	7	0	0
25	25	7	7	0	0
25	25	7	7	0	0
25	25	7	7	0	0
25	25	7	7	0	0
25	23	7	7	0	0
25	23	7	7	0	0
25	23	7	7	0	0
25	23	7	7	0	0
25	23	7	7	0	0
25	22	7	7	0	0
25	22	7	7	0	0
25	22	7	7	0	0
25	22	7	7	0	0
25	22	7	7	0	0
25	20	7	7	0	0
25	20	7	7	0	0
25	20	7	7	0	0
25	20	7	7	0	0
25	20	7	7	0	0
25	18	7	7	0	0
25	18	7	7	0	0
25	18	7	7	0	0
25	18	7	7	0	0
25	18	7	7	0	0
25	17	7	7	0	0
25	17	7	7	0	0
25	17	7	7	0	0
25	17	7	7	0	0
25	17	7	7	0	0
25	14	7	7	0	0
25	14	7	7	0	0
25	14	7	7	0	0
25	14	7	7	0	0
25	14	7	7	0	0
25	13	7	7	0	0
25	13	7	7	0	0
25	13	7	7	0	0
25	13	7	7	0	0
25	13	7	7	0	0
25	52	7	7	0	0
25	52	7	7	0	0
25	52	7	7	0	0
25	52	7	7	0	0
25	52	7	7	0	0
25	46	7	7	0	0
25	46	7	7	0	0
25	46	7	7	0	0
25	46	7	7	0	0
25	46	7	7	0	0
25	40	7	7	0	0
25	40	7	7	0	0
25	40	7	7	0	0
25	40	7	7	0	0
25	40	7	7	0	0
25	36	7	7	0	0
25	36	7	7	0	0
25	36	7	7	0	0
25	36	7	7	0	0
25	36	7	7	0	0
25	33	7	7	0	0
25	33	7	7	0	0
25	33	7	7	0	0
25	33	7	7	0	0
25	33	7	7	0	0
25	30	7	7	0	0
25	30	7	7	0	0
25	30	7	7	0	0
25	30	7	7	0	0
25	30	7	7	0	0
25	29	7	7	0	0
25	29	7	7	0	0
25	29	7	7	0	0
25	29	7	7	0	0
25	29	7	7	0	0
25	25	7	7	0	0
25	25	7	7	0	0
25	25	7	7	0	0
25	25	7	7	0	0
25	25	7	7	0	0
25	23	7	7	0	0
25	23	7	7	0	0
25	23	7	7	0	0
25	23	7	7	0	0
25	23	7	7	0	0
25	22	7	7	0	0
25	22	7	7	0	0
25	22	7	7	0	0
25	22	7	7	0	0
25	22	7	7	0	0
25	20	7	7	0	0
25	20	7	7	0	0
25	20	7	7	0	0
25	20	7	7	0	0
25	20	7	7	0	0
25	18	7	7	0	0
25	18	7	7	0	0
25	18	7	7	0	0
25	18	7	7	0	0
25	18	7	7	0	0
25	17	7	7	0	0
25	17	7	7	0	0
25	17	7	7	0	0
25	17	7	7	0	0
25	17	7	7	0	0
25	14	7	7	0	0
25	14	7	7	0	0
25	14	7	7	0	0
25	14	7	7	0	0
25	14	7	7	0	0
25	13	7	7	0	0
25	13	7	7	0	0
25	13	7	7	0	0
25	13	7	7	0	0
25	13	7	7	0	0
25	52	7	7	0	0
25	52	7	7	0	0
25	52	7	7	0	0
25	52	7	7	0	0
25	52	7	7	0	0
25	46	7	7	0	0
25	46	7	7	0	0
25	46	7	7	0	0
25	46	7	7	0	0
25	46	7	7	0	0
25	40	7	7	0	0
25	40	7	7	0	0
25	40	7	7	0	0
25	40	7	7	0	0
25	40	7	7	0	0
25	36	7	7	0	0
25	36	7	7	0	0
25	36	7	7	0	0
25	36	7	7	0	0
25	36	7	7	0	0
25	33	7	7	0	0
25	33	7	7	0	0
25	33	7	7	0	0
25	33	7	7	0	0
25	33	7	7	0	0
25	30	7	7	0	0
25	30	7	7	0	0
25	30	7	7	0	0
25	30	7	7	0	0
25	30	7	7	0	0
25	29	7	7	0	0
25	29	7	7	0	0
25	29	7	7	0	0
25	29	7	7	0	0
25	29	7	7	0	0
25	25	7	7	0	0
25	25	7	7	0	0
25	25	7	7	0	0
25	25	7	7	0	0
25	25	7	7	0	0
25	23	7	7	0	0
25	23	7	7	0	0
25	23	7	7	0	0
25	23	7	7	0	0
25	23	7	7	0	0
25	22	7	7	0	0
25	22	7	7	0	0
25	22	7	7	0	0
25	22	7	7	0	0
25	22	7	7	0	0
25	20	7	7	0	0
25	20	7	7	0	0
25	20	7	7	0	0
25	20	7	7	0	0
25	20	7	7	0	0
25	18	7	7	0	0
25	18	7	7	0	0
25	18	7	7	0	0
25	18	7	7	0	0
25	18	7	7	0	0
25	17	7	7	0	0
25	17	7	7	0	0
25	17	7	7	0	0
25	17	7	7	0	0
25	17	7	7	0	0
25	14	7	7	0	0
25	14	7	7	0	0
25	14	7	7	0	0
25	14	7	7	0	0
25	14	7	7	0	0
25	13	7	7	0	0
25	13	7	7	0	0
25	13	7	7	0	0
25	13	7	7	0	0
25	13	7	7	0	0
