S1	S2	Spkr1	Spkr1	DdB1	DdB2
6	6	5	2	20	20
6	6	5	3	20	20
6	6	5	5	20	20
6	6	5	7	20	20
6	6	5	8	20	20
6	6	10	7	20	20
6	6	10	8	20	20
6	6	10	10	20	20
6	6	10	12	20	20
6	6	10	13	20	20

12	12	5	2	20	20
12	12	5	3	20	20
12	12	5	5	20	20
12	12	5	7	20	20
12	12	5	8	20	20
12	12	10	7	20	20
12	12	10	8	20	20
12	12	10	10	20	20
12	12	10	12	20	20
12	12	10	13	20	20
