S1	S2	Dist	Spkr1	Spkr2	SpkrD	DdB1	DdB2	DdBD
125	142	25	1	1	1	0	0	10
125	137	25	1	1	1	0	0	10
125	133	25	1	1	1	0	0	10
125	130	25	1	1	1	0	0	10
125	128	25	1	1	1	0	0	10
125	127	25	1	1	1	0	0	10
125	125	25	1	1	1	0	0	10
125	123	25	1	1	1	0	0	10
125	122	25	1	1	1	0	0	10
125	121	25	1	1	1	0	0	10
125	119	25	1	1	1	0	0	10
125	117	25	1	1	1	0	0	10
125	115	25	1	1	1	0	0	10
125	142	25	1	1	13	0	0	10
125	137	25	1	1	13	0	0	10
125	133	25	1	1	13	0	0	10
125	130	25	1	1	13	0	0	10
125	128	25	1	1	13	0	0	10
125	127	25	1	1	13	0	0	10
125	125	25	1	1	13	0	0	10
125	123	25	1	1	13	0	0	10
125	122	25	1	1	13	0	0	10
125	121	25	1	1	13	0	0	10
125	119	25	1	1	13	0	0	10
125	117	25	1	1	13	0	0	10
125	115	25	1	1	13	0	0	10
125	142	25	1	1	7	0	0	10
125	137	25	1	1	7	0	0	10
125	133	25	1	1	7	0	0	10
125	130	25	1	1	7	0	0	10
125	128	25	1	1	7	0	0	10
125	127	25	1	1	7	0	0	10
125	125	25	1	1	7	0	0	10
125	123	25	1	1	7	0	0	10
125	122	25	1	1	7	0	0	10
125	121	25	1	1	7	0	0	10
125	119	25	1	1	7	0	0	10
125	117	25	1	1	7	0	0	10
125	115	25	1	1	7	0	0	10
125	142	25	1	1	1	0	0	65
125	137	25	1	1	1	0	0	65
125	133	25	1	1	1	0	0	65
125	130	25	1	1	1	0	0	65
125	128	25	1	1	1	0	0	65
125	127	25	1	1	1	0	0	65
125	125	25	1	1	1	0	0	65
125	123	25	1	1	1	0	0	65
125	122	25	1	1	1	0	0	65
125	121	25	1	1	1	0	0	65
125	119	25	1	1	1	0	0	65
125	117	25	1	1	1	0	0	65
125	115	25	1	1	1	0	0	65
125	142	25	1	1	13	0	0	65
125	137	25	1	1	13	0	0	65
125	133	25	1	1	13	0	0	65
125	130	25	1	1	13	0	0	65
125	128	25	1	1	13	0	0	65
125	127	25	1	1	13	0	0	65
125	125	25	1	1	13	0	0	65
125	123	25	1	1	13	0	0	65
125	122	25	1	1	13	0	0	65
125	121	25	1	1	13	0	0	65
125	119	25	1	1	13	0	0	65
125	117	25	1	1	13	0	0	65
125	115	25	1	1	13	0	0	65
125	142	25	1	1	7	0	0	65
125	137	25	1	1	7	0	0	65
125	133	25	1	1	7	0	0	65
125	130	25	1	1	7	0	0	65
125	128	25	1	1	7	0	0	65
125	127	25	1	1	7	0	0	65
125	125	25	1	1	7	0	0	65
125	123	25	1	1	7	0	0	65
125	122	25	1	1	7	0	0	65
125	121	25	1	1	7	0	0	65
125	119	25	1	1	7	0	0	65
125	117	25	1	1	7	0	0	65
125	115	25	1	1	7	0	0	65
