S1	S2	Dist	Spkr1	Spkr2	SpkrD	DdB1	DdB2	DdBD
25	42	133	1	1	1	0	0	10
25	37	133	1	1	1	0	0	10
25	33	133	1	1	1	0	0	10
25	30	133	1	1	1	0	0	10
25	28	133	1	1	1	0	0	10
25	27	133	1	1	1	0	0	10
25	25	133	1	1	1	0	0	10
25	23	133	1	1	1	0	0	10
25	22	133	1	1	1	0	0	10
25	21	133	1	1	1	0	0	10
25	19	133	1	1	1	0	0	10
25	17	133	1	1	1	0	0	10
25	15	133	1	1	1	0	0	10
25	42	133	1	1	13	0	0	10
25	37	133	1	1	13	0	0	10
25	33	133	1	1	13	0	0	10
25	30	133	1	1	13	0	0	10
25	28	133	1	1	13	0	0	10
25	27	133	1	1	13	0	0	10
25	25	133	1	1	13	0	0	10
25	23	133	1	1	13	0	0	10
25	22	133	1	1	13	0	0	10
25	21	133	1	1	13	0	0	10
25	19	133	1	1	13	0	0	10
25	17	133	1	1	13	0	0	10
25	15	133	1	1	13	0	0	10
25	42	133	1	1	7	0	0	10
25	37	133	1	1	7	0	0	10
25	33	133	1	1	7	0	0	10
25	30	133	1	1	7	0	0	10
25	28	133	1	1	7	0	0	10
25	27	133	1	1	7	0	0	10
25	25	133	1	1	7	0	0	10
25	23	133	1	1	7	0	0	10
25	22	133	1	1	7	0	0	10
25	21	133	1	1	7	0	0	10
25	19	133	1	1	7	0	0	10
25	17	133	1	1	7	0	0	10
25	15	133	1	1	7	0	0	10
25	42	133	1	1	1	0	0	65
25	37	133	1	1	1	0	0	65
25	33	133	1	1	1	0	0	65
25	30	133	1	1	1	0	0	65
25	28	133	1	1	1	0	0	65
25	27	133	1	1	1	0	0	65
25	25	133	1	1	1	0	0	65
25	23	133	1	1	1	0	0	65
25	22	133	1	1	1	0	0	65
25	21	133	1	1	1	0	0	65
25	19	133	1	1	1	0	0	65
25	17	133	1	1	1	0	0	65
25	15	133	1	1	1	0	0	65
25	42	133	1	1	13	0	0	65
25	37	133	1	1	13	0	0	65
25	33	133	1	1	13	0	0	65
25	30	133	1	1	13	0	0	65
25	28	133	1	1	13	0	0	65
25	27	133	1	1	13	0	0	65
25	25	133	1	1	13	0	0	65
25	23	133	1	1	13	0	0	65
25	22	133	1	1	13	0	0	65
25	21	133	1	1	13	0	0	65
25	19	133	1	1	13	0	0	65
25	17	133	1	1	13	0	0	65
25	15	133	1	1	13	0	0	65
25	42	133	1	1	7	0	0	65
25	37	133	1	1	7	0	0	65
25	33	133	1	1	7	0	0	65
25	30	133	1	1	7	0	0	65
25	28	133	1	1	7	0	0	65
25	27	133	1	1	7	0	0	65
25	25	133	1	1	7	0	0	65
25	23	133	1	1	7	0	0	65
25	22	133	1	1	7	0	0	65
25	21	133	1	1	7	0	0	65
25	19	133	1	1	7	0	0	65
25	17	133	1	1	7	0	0	65
25	15	133	1	1	7	0	0	65
