S1	S2	Dist	Spkr1	Spkr2	SpkrD	DdB1	DdB2	DdBD
33	55	133	1	1	16	0	0	10
33	49	133	1	1	16	0	0	10
33	44	133	1	1	16	0	0	10
33	40	133	1	1	16	0	0	10
33	37	133	1	1	16	0	0	10
33	36	133	1	1	16	0	0	10
33	33	133	1	1	16	0	0	10
33	30	133	1	1	16	0	0	10
33	29	133	1	1	16	0	0	10
33	27	133	1	1	16	0	0	10
33	25	133	1	1	16	0	0	10
33	22	133	1	1	16	0	0	10
33	20	133	1	1	16	0	0	10
33	55	133	1	1	4	0	0	10
33	49	133	1	1	4	0	0	10
33	44	133	1	1	4	0	0	10
33	40	133	1	1	4	0	0	10
33	37	133	1	1	4	0	0	10
33	36	133	1	1	4	0	0	10
33	33	133	1	1	4	0	0	10
33	30	133	1	1	4	0	0	10
33	29	133	1	1	4	0	0	10
33	27	133	1	1	4	0	0	10
33	25	133	1	1	4	0	0	10
33	22	133	1	1	4	0	0	10
33	20	133	1	1	4	0	0	10
33	55	133	1	1	2	0	0	10
33	49	133	1	1	2	0	0	10
33	44	133	1	1	2	0	0	10
33	40	133	1	1	2	0	0	10
33	37	133	1	1	2	0	0	10
33	36	133	1	1	2	0	0	10
33	33	133	1	1	2	0	0	10
33	30	133	1	1	2	0	0	10
33	29	133	1	1	2	0	0	10
33	27	133	1	1	2	0	0	10
33	25	133	1	1	2	0	0	10
33	22	133	1	1	2	0	0	10
33	20	133	1	1	2	0	0	10
33	55	133	1	1	16	0	0	65
33	49	133	1	1	16	0	0	65
33	44	133	1	1	16	0	0	65
33	40	133	1	1	16	0	0	65
33	37	133	1	1	16	0	0	65
33	36	133	1	1	16	0	0	65
33	33	133	1	1	16	0	0	65
33	30	133	1	1	16	0	0	65
33	29	133	1	1	16	0	0	65
33	27	133	1	1	16	0	0	65
33	25	133	1	1	16	0	0	65
33	22	133	1	1	16	0	0	65
33	20	133	1	1	16	0	0	65
33	55	133	1	1	4	0	0	65
33	49	133	1	1	4	0	0	65
33	44	133	1	1	4	0	0	65
33	40	133	1	1	4	0	0	65
33	37	133	1	1	4	0	0	65
33	36	133	1	1	4	0	0	65
33	33	133	1	1	4	0	0	65
33	30	133	1	1	4	0	0	65
33	29	133	1	1	4	0	0	65
33	27	133	1	1	4	0	0	65
33	25	133	1	1	4	0	0	65
33	22	133	1	1	4	0	0	65
33	20	133	1	1	4	0	0	65
33	55	133	1	1	2	0	0	65
33	49	133	1	1	2	0	0	65
33	44	133	1	1	2	0	0	65
33	40	133	1	1	2	0	0	65
33	37	133	1	1	2	0	0	65
33	36	133	1	1	2	0	0	65
33	33	133	1	1	2	0	0	65
33	30	133	1	1	2	0	0	65
33	29	133	1	1	2	0	0	65
33	27	133	1	1	2	0	0	65
33	25	133	1	1	2	0	0	65
33	22	133	1	1	2	0	0	65
33	20	133	1	1	2	0	0	65
